deck,opponent,winrate
dragapult/dusknoir,dragapult/dusknoir,
terapagos/noctowl,dragapult/dusknoir,0.355
raging-bolt/ogerpon,dragapult/dusknoir,0.369
noctowl/ogerpon-wellspring,dragapult/dusknoir,0.461
gholdengo/dudunsparce,dragapult/dusknoir,0.390
gardevoir,dragapult/dusknoir,0.503
dragapult,dragapult/dusknoir,0.459
gholdengo,dragapult/dusknoir,0.489
archaludon/brute-bonnet,dragapult/dusknoir,0.495
flareon/noctowl,dragapult/dusknoir,0.462
dragapult/dusknoir,terapagos/noctowl,0.480
terapagos/noctowl,terapagos/noctowl,
raging-bolt/ogerpon,terapagos/noctowl,0.302
noctowl/ogerpon-wellspring,terapagos/noctowl,0.300
gholdengo/dudunsparce,terapagos/noctowl,0.374
gardevoir,terapagos/noctowl,0.388
dragapult,terapagos/noctowl,0.440
gholdengo,terapagos/noctowl,0.485
archaludon/brute-bonnet,terapagos/noctowl,0.408
flareon/noctowl,terapagos/noctowl,0.389
dragapult/dusknoir,raging-bolt/ogerpon,0.443
terapagos/noctowl,raging-bolt/ogerpon,0.525
raging-bolt/ogerpon,raging-bolt/ogerpon,
noctowl/ogerpon-wellspring,raging-bolt/ogerpon,0.582
gholdengo/dudunsparce,raging-bolt/ogerpon,0.465
gardevoir,raging-bolt/ogerpon,0.543
dragapult,raging-bolt/ogerpon,0.525
gholdengo,raging-bolt/ogerpon,0.482
archaludon/brute-bonnet,raging-bolt/ogerpon,0.417
flareon/noctowl,raging-bolt/ogerpon,0.493
dragapult/dusknoir,noctowl/ogerpon-wellspring,0.423
terapagos/noctowl,noctowl/ogerpon-wellspring,0.584
raging-bolt/ogerpon,noctowl/ogerpon-wellspring,0.307
noctowl/ogerpon-wellspring,noctowl/ogerpon-wellspring,
gholdengo/dudunsparce,noctowl/ogerpon-wellspring,0.470
gardevoir,noctowl/ogerpon-wellspring,0.472
dragapult,noctowl/ogerpon-wellspring,0.460
gholdengo,noctowl/ogerpon-wellspring,0.639
archaludon/brute-bonnet,noctowl/ogerpon-wellspring,0.597
flareon/noctowl,noctowl/ogerpon-wellspring,0.350
dragapult/dusknoir,gholdengo/dudunsparce,0.454
terapagos/noctowl,gholdengo/dudunsparce,0.423
raging-bolt/ogerpon,gholdengo/dudunsparce,0.417
noctowl/ogerpon-wellspring,gholdengo/dudunsparce,0.370
gholdengo/dudunsparce,gholdengo/dudunsparce,
gardevoir,gholdengo/dudunsparce,0.276
dragapult,gholdengo/dudunsparce,0.478
gholdengo,gholdengo/dudunsparce,0.352
archaludon/brute-bonnet,gholdengo/dudunsparce,0.527
flareon/noctowl,gholdengo/dudunsparce,0.571
dragapult/dusknoir,gardevoir,0.308
terapagos/noctowl,gardevoir,0.372
raging-bolt/ogerpon,gardevoir,0.279
noctowl/ogerpon-wellspring,gardevoir,0.317
gholdengo/dudunsparce,gardevoir,0.495
gardevoir,gardevoir,
dragapult,gardevoir,0.273
gholdengo,gardevoir,0.627
archaludon/brute-bonnet,gardevoir,0.237
flareon/noctowl,gardevoir,0.231
dragapult/dusknoir,dragapult,0.384
terapagos/noctowl,dragapult,0.344
raging-bolt/ogerpon,dragapult,0.305
noctowl/ogerpon-wellspring,dragapult,0.407
gholdengo/dudunsparce,dragapult,0.378
gardevoir,dragapult,0.470
dragapult,dragapult,
gholdengo,dragapult,0.255
archaludon/brute-bonnet,dragapult,0.237
flareon/noctowl,dragapult,0.265
dragapult/dusknoir,gholdengo,0.383
terapagos/noctowl,gholdengo,0.343
raging-bolt/ogerpon,gholdengo,0.382
noctowl/ogerpon-wellspring,gholdengo,0.277
gholdengo/dudunsparce,gholdengo,0.549
gardevoir,gholdengo,0.235
dragapult,gholdengo,0.569
gholdengo,gholdengo,
archaludon/brute-bonnet,gholdengo,0.519
flareon/noctowl,gholdengo,0.760
dragapult/dusknoir,archaludon/brute-bonnet,0.440
terapagos/noctowl,archaludon/brute-bonnet,0.352
raging-bolt/ogerpon,archaludon/brute-bonnet,0.375
noctowl/ogerpon-wellspring,archaludon/brute-bonnet,0.306
gholdengo/dudunsparce,archaludon/brute-bonnet,0.345
gardevoir,archaludon/brute-bonnet,0.632
dragapult,archaludon/brute-bonnet,0.632
gholdengo,archaludon/brute-bonnet,0.407
archaludon/brute-bonnet,archaludon/brute-bonnet,
flareon/noctowl,archaludon/brute-bonnet,0.235
dragapult/dusknoir,flareon/noctowl,0.321
terapagos/noctowl,flareon/noctowl,0.519
raging-bolt/ogerpon,flareon/noctowl,0.423
noctowl/ogerpon-wellspring,flareon/noctowl,0.533
gholdengo/dudunsparce,flareon/noctowl,0.286
gardevoir,flareon/noctowl,0.462
dragapult,flareon/noctowl,0.588
gholdengo,flareon/noctowl,0.120
archaludon/brute-bonnet,flareon/noctowl,0.588
flareon/noctowl,flareon/noctowl,
