deck,opponent,winrate
gardevoir,gardevoir,
dragapult,gardevoir,0.315
raging-bolt/ogerpon,gardevoir,0.312
joltik-box,gardevoir,0.325
gholdengo/dragapult,gardevoir,0.452
flareon/noctowl,gardevoir,0.423
tera-box,gardevoir,0.394
dragapult/charizard,gardevoir,0.350
dragapult/dusknoir,gardevoir,0.220
n-zoroark,gardevoir,0.571
gardevoir,dragapult,0.504
dragapult,dragapult,
raging-bolt/ogerpon,dragapult,0.316
joltik-box,dragapult,0.360
gholdengo/dragapult,dragapult,0.382
flareon/noctowl,dragapult,0.460
tera-box,dragapult,0.323
dragapult/charizard,dragapult,0.367
dragapult/dusknoir,dragapult,0.375
n-zoroark,dragapult,0.333
gardevoir,raging-bolt/ogerpon,0.465
dragapult,raging-bolt/ogerpon,0.508
raging-bolt/ogerpon,raging-bolt/ogerpon,
joltik-box,raging-bolt/ogerpon,0.333
gholdengo/dragapult,raging-bolt/ogerpon,0.217
flareon/noctowl,raging-bolt/ogerpon,0.516
tera-box,raging-bolt/ogerpon,0.553
dragapult/charizard,raging-bolt/ogerpon,0.541
dragapult/dusknoir,raging-bolt/ogerpon,0.314
n-zoroark,raging-bolt/ogerpon,0.156
gardevoir,joltik-box,0.448
dragapult,joltik-box,0.491
raging-bolt/ogerpon,joltik-box,0.450
joltik-box,joltik-box,
gholdengo/dragapult,joltik-box,0.396
flareon/noctowl,joltik-box,0.476
tera-box,joltik-box,0.353
dragapult/charizard,joltik-box,0.556
dragapult/dusknoir,joltik-box,0.500
n-zoroark,joltik-box,0.156
gardevoir,gholdengo/dragapult,0.288
dragapult,gholdengo/dragapult,0.382
raging-bolt/ogerpon,gholdengo/dragapult,0.600
joltik-box,gholdengo/dragapult,0.547
gholdengo/dragapult,gholdengo/dragapult,
flareon/noctowl,gholdengo/dragapult,0.737
tera-box,gholdengo/dragapult,0.625
dragapult/charizard,gholdengo/dragapult,0.250
dragapult/dusknoir,gholdengo/dragapult,0.529
n-zoroark,gholdengo/dragapult,0.222
gardevoir,flareon/noctowl,0.338
dragapult,flareon/noctowl,0.365
raging-bolt/ogerpon,flareon/noctowl,0.355
joltik-box,flareon/noctowl,0.286
gholdengo/dragapult,flareon/noctowl,0.105
flareon/noctowl,flareon/noctowl,
tera-box,flareon/noctowl,0.562
dragapult/charizard,flareon/noctowl,0.500
dragapult/dusknoir,flareon/noctowl,0.154
n-zoroark,flareon/noctowl,0.438
gardevoir,tera-box,0.303
dragapult,tera-box,0.419
raging-bolt/ogerpon,tera-box,0.255
joltik-box,tera-box,0.490
gholdengo/dragapult,tera-box,0.375
flareon/noctowl,tera-box,0.312
tera-box,tera-box,
dragapult/charizard,tera-box,0.667
dragapult/dusknoir,tera-box,0.400
n-zoroark,tera-box,0.273
gardevoir,dragapult/charizard,0.400
dragapult,dragapult/charizard,0.417
raging-bolt/ogerpon,dragapult/charizard,0.324
joltik-box,dragapult/charizard,0.356
gholdengo/dragapult,dragapult/charizard,0.500
flareon/noctowl,dragapult/charizard,0.125
tera-box,dragapult/charizard,0.267
dragapult/charizard,dragapult/charizard,
dragapult/dusknoir,dragapult/charizard,0.455
n-zoroark,dragapult/charizard,0.200
gardevoir,dragapult/dusknoir,0.520
dragapult,dragapult/dusknoir,0.458
raging-bolt/ogerpon,dragapult/dusknoir,0.431
joltik-box,dragapult/dusknoir,0.421
gholdengo/dragapult,dragapult/dusknoir,0.353
flareon/noctowl,dragapult/dusknoir,0.615
tera-box,dragapult/dusknoir,0.600
dragapult/charizard,dragapult/dusknoir,0.364
dragapult/dusknoir,dragapult/dusknoir,
n-zoroark,dragapult/dusknoir,0.333
gardevoir,n-zoroark,0.179
dragapult,n-zoroark,0.433
raging-bolt/ogerpon,n-zoroark,0.578
joltik-box,n-zoroark,0.594
gholdengo/dragapult,n-zoroark,0.333
flareon/noctowl,n-zoroark,0.562
tera-box,n-zoroark,0.636
dragapult/charizard,n-zoroark,0.600
dragapult/dusknoir,n-zoroark,0.467
n-zoroark,n-zoroark,
