deck,opponent,winrate
dragapult/dusknoir,dragapult/dusknoir,
raging-bolt/ogerpon,dragapult/dusknoir,0.426
gardevoir,dragapult/dusknoir,0.473
noctowl/ogerpon-wellspring,dragapult/dusknoir,0.479
dragapult,dragapult/dusknoir,0.489
gholdengo/dudunsparce,dragapult/dusknoir,0.369
archaludon/brute-bonnet,dragapult/dusknoir,0.537
gholdengo,dragapult/dusknoir,0.500
terapagos/noctowl,dragapult/dusknoir,0.400
gholdengo/dragapult,dragapult/dusknoir,0.534
dragapult/dusknoir,raging-bolt/ogerpon,0.370
raging-bolt/ogerpon,raging-bolt/ogerpon,
gardevoir,raging-bolt/ogerpon,0.439
noctowl/ogerpon-wellspring,raging-bolt/ogerpon,0.475
dragapult,raging-bolt/ogerpon,0.479
gholdengo/dudunsparce,raging-bolt/ogerpon,0.365
archaludon/brute-bonnet,raging-bolt/ogerpon,0.357
gholdengo,raging-bolt/ogerpon,0.523
terapagos/noctowl,raging-bolt/ogerpon,0.512
gholdengo/dragapult,raging-bolt/ogerpon,0.291
dragapult/dusknoir,gardevoir,0.266
raging-bolt/ogerpon,gardevoir,0.368
gardevoir,gardevoir,
noctowl/ogerpon-wellspring,gardevoir,0.457
dragapult,gardevoir,0.328
gholdengo/dudunsparce,gardevoir,0.553
archaludon/brute-bonnet,gardevoir,0.302
gholdengo,gardevoir,0.526
terapagos/noctowl,gardevoir,0.475
gholdengo/dragapult,gardevoir,0.562
dragapult/dusknoir,noctowl/ogerpon-wellspring,0.356
raging-bolt/ogerpon,noctowl/ogerpon-wellspring,0.320
gardevoir,noctowl/ogerpon-wellspring,0.296
noctowl/ogerpon-wellspring,noctowl/ogerpon-wellspring,
dragapult,noctowl/ogerpon-wellspring,0.357
gholdengo/dudunsparce,noctowl/ogerpon-wellspring,0.431
archaludon/brute-bonnet,noctowl/ogerpon-wellspring,0.528
gholdengo,noctowl/ogerpon-wellspring,0.543
terapagos/noctowl,noctowl/ogerpon-wellspring,0.484
gholdengo/dragapult,noctowl/ogerpon-wellspring,0.450
dragapult/dusknoir,dragapult,0.250
raging-bolt/ogerpon,dragapult,0.288
gardevoir,dragapult,0.362
noctowl/ogerpon-wellspring,dragapult,0.429
dragapult,dragapult,
gholdengo/dudunsparce,dragapult,0.258
archaludon/brute-bonnet,dragapult,0.409
gholdengo,dragapult,0.172
terapagos/noctowl,dragapult,0.182
gholdengo/dragapult,dragapult,0.438
dragapult/dusknoir,gholdengo/dudunsparce,0.387
raging-bolt/ogerpon,gholdengo/dudunsparce,0.392
gardevoir,gholdengo/dudunsparce,0.255
noctowl/ogerpon-wellspring,gholdengo/dudunsparce,0.373
dragapult,gholdengo/dudunsparce,0.484
gholdengo/dudunsparce,gholdengo/dudunsparce,
archaludon/brute-bonnet,gholdengo/dudunsparce,0.400
gholdengo,gholdengo/dudunsparce,0.348
terapagos/noctowl,gholdengo/dudunsparce,0.231
gholdengo/dragapult,gholdengo/dudunsparce,0.250
dragapult/dusknoir,archaludon/brute-bonnet,0.275
raging-bolt/ogerpon,archaludon/brute-bonnet,0.357
gardevoir,archaludon/brute-bonnet,0.442
noctowl/ogerpon-wellspring,archaludon/brute-bonnet,0.250
dragapult,archaludon/brute-bonnet,0.318
gholdengo/dudunsparce,archaludon/brute-bonnet,0.600
archaludon/brute-bonnet,archaludon/brute-bonnet,
gholdengo,archaludon/brute-bonnet,0.333
terapagos/noctowl,archaludon/brute-bonnet,0.450
gholdengo/dragapult,archaludon/brute-bonnet,0.286
dragapult/dusknoir,gholdengo,0.309
raging-bolt/ogerpon,gholdengo,0.369
gardevoir,gholdengo,0.158
noctowl/ogerpon-wellspring,gholdengo,0.200
dragapult,gholdengo,0.517
gholdengo/dudunsparce,gholdengo,0.435
archaludon/brute-bonnet,gholdengo,0.467
gholdengo,gholdengo,
terapagos/noctowl,gholdengo,0.350
gholdengo/dragapult,gholdengo,0.333
dragapult/dusknoir,terapagos/noctowl,0.431
raging-bolt/ogerpon,terapagos/noctowl,0.233
gardevoir,terapagos/noctowl,0.300
noctowl/ogerpon-wellspring,terapagos/noctowl,0.290
dragapult,terapagos/noctowl,0.636
gholdengo/dudunsparce,terapagos/noctowl,0.308
archaludon/brute-bonnet,terapagos/noctowl,0.300
gholdengo,terapagos/noctowl,0.450
terapagos/noctowl,terapagos/noctowl,
gholdengo/dragapult,terapagos/noctowl,0.333
dragapult/dusknoir,gholdengo/dragapult,0.205
raging-bolt/ogerpon,gholdengo/dragapult,0.473
gardevoir,gholdengo/dragapult,0.281
noctowl/ogerpon-wellspring,gholdengo/dragapult,0.350
dragapult,gholdengo/dragapult,0.375
gholdengo/dudunsparce,gholdengo/dragapult,0.375
archaludon/brute-bonnet,gholdengo/dragapult,0.643
gholdengo,gholdengo/dragapult,0.167
terapagos/noctowl,gholdengo/dragapult,0.444
gholdengo/dragapult,gholdengo/dragapult,
