deck,opponent,winrate
dragapult/dusknoir,dragapult/dusknoir,
raging-bolt/ogerpon,dragapult/dusknoir,0.390
gardevoir,dragapult/dusknoir,0.488
gholdengo,dragapult/dusknoir,0.505
charizard/pidgeot,dragapult/dusknoir,0.286
gholdengo-joltik-box,dragapult/dusknoir,0.446
grimmsnarl/froslass,dragapult/dusknoir,0.416
dragapult/charizard,dragapult/dusknoir,0.284
joltik-box,dragapult/dusknoir,0.431
tera-box,dragapult/dusknoir,0.596
dragapult/dusknoir,raging-bolt/ogerpon,0.394
raging-bolt/ogerpon,raging-bolt/ogerpon,
gardevoir,raging-bolt/ogerpon,0.505
gholdengo,raging-bolt/ogerpon,0.472
charizard/pidgeot,raging-bolt/ogerpon,0.336
gholdengo-joltik-box,raging-bolt/ogerpon,0.252
grimmsnarl/froslass,raging-bolt/ogerpon,0.229
dragapult/charizard,raging-bolt/ogerpon,0.365
joltik-box,raging-bolt/ogerpon,0.324
tera-box,raging-bolt/ogerpon,0.653
dragapult/dusknoir,gardevoir,0.313
raging-bolt/ogerpon,gardevoir,0.304
gardevoir,gardevoir,
gholdengo,gardevoir,0.529
charizard/pidgeot,gardevoir,0.405
gholdengo-joltik-box,gardevoir,0.540
grimmsnarl/froslass,gardevoir,0.645
dragapult/charizard,gardevoir,0.301
joltik-box,gardevoir,0.375
tera-box,gardevoir,0.404
dragapult/dusknoir,gholdengo,0.299
raging-bolt/ogerpon,gholdengo,0.356
gardevoir,gholdengo,0.306
gholdengo,gholdengo,
charizard/pidgeot,gholdengo,0.462
gholdengo-joltik-box,gholdengo,0.514
grimmsnarl/froslass,gholdengo,0.275
dragapult/charizard,gholdengo,0.279
joltik-box,gholdengo,0.423
tera-box,gholdengo,0.561
dragapult/dusknoir,charizard/pidgeot,0.521
raging-bolt/ogerpon,charizard/pidgeot,0.450
gardevoir,charizard/pidgeot,0.389
gholdengo,charizard/pidgeot,0.311
charizard/pidgeot,charizard/pidgeot,
gholdengo-joltik-box,charizard/pidgeot,0.543
grimmsnarl/froslass,charizard/pidgeot,0.415
dragapult/charizard,charizard/pidgeot,0.529
joltik-box,charizard/pidgeot,0.435
tera-box,charizard/pidgeot,0.538
dragapult/dusknoir,gholdengo-joltik-box,0.377
raging-bolt/ogerpon,gholdengo-joltik-box,0.569
gardevoir,gholdengo-joltik-box,0.239
gholdengo,gholdengo-joltik-box,0.360
charizard/pidgeot,gholdengo-joltik-box,0.370
gholdengo-joltik-box,gholdengo-joltik-box,
grimmsnarl/froslass,gholdengo-joltik-box,0.146
dragapult/charizard,gholdengo-joltik-box,0.243
joltik-box,gholdengo-joltik-box,0.577
tera-box,gholdengo-joltik-box,0.536
dragapult/dusknoir,grimmsnarl/froslass,0.338
raging-bolt/ogerpon,grimmsnarl/froslass,0.562
gardevoir,grimmsnarl/froslass,0.210
gholdengo,grimmsnarl/froslass,0.551
charizard/pidgeot,grimmsnarl/froslass,0.390
gholdengo-joltik-box,grimmsnarl/froslass,0.537
grimmsnarl/froslass,grimmsnarl/froslass,
dragapult/charizard,grimmsnarl/froslass,0.395
joltik-box,grimmsnarl/froslass,0.727
tera-box,grimmsnarl/froslass,0.333
dragapult/dusknoir,dragapult/charizard,0.543
raging-bolt/ogerpon,dragapult/charizard,0.432
gardevoir,dragapult/charizard,0.521
gholdengo,dragapult/charizard,0.544
charizard/pidgeot,dragapult/charizard,0.275
gholdengo-joltik-box,dragapult/charizard,0.459
grimmsnarl/froslass,dragapult/charizard,0.368
dragapult/charizard,dragapult/charizard,
joltik-box,dragapult/charizard,0.444
tera-box,dragapult/charizard,0.625
dragapult/dusknoir,joltik-box,0.462
raging-bolt/ogerpon,joltik-box,0.451
gardevoir,joltik-box,0.333
gholdengo,joltik-box,0.365
charizard/pidgeot,joltik-box,0.413
gholdengo-joltik-box,joltik-box,0.346
grimmsnarl/froslass,joltik-box,0.182
dragapult/charizard,joltik-box,0.444
joltik-box,joltik-box,
tera-box,joltik-box,0.545
dragapult/dusknoir,tera-box,0.213
raging-bolt/ogerpon,tera-box,0.204
gardevoir,tera-box,0.404
gholdengo,tera-box,0.244
charizard/pidgeot,tera-box,0.308
gholdengo-joltik-box,tera-box,0.321
grimmsnarl/froslass,tera-box,0.500
dragapult/charizard,tera-box,0.250
joltik-box,tera-box,0.182
tera-box,tera-box,
