deck,opponent,winrate
gardevoir,gardevoir,
raging-bolt/ogerpon,gardevoir,0.341
dragapult,gardevoir,0.393
joltik-box,gardevoir,0.394
flareon/noctowl,gardevoir,0.353
tera-box,gardevoir,0.415
dragapult/dusknoir,gardevoir,0.380
gholdengo/dragapult,gardevoir,0.467
n-zoroark,gardevoir,0.623
dragapult/charizard,gardevoir,0.474
gardevoir,raging-bolt/ogerpon,0.434
raging-bolt/ogerpon,raging-bolt/ogerpon,
dragapult,raging-bolt/ogerpon,0.425
joltik-box,raging-bolt/ogerpon,0.289
flareon/noctowl,raging-bolt/ogerpon,0.592
tera-box,raging-bolt/ogerpon,0.569
dragapult/dusknoir,raging-bolt/ogerpon,0.355
gholdengo/dragapult,raging-bolt/ogerpon,0.369
n-zoroark,raging-bolt/ogerpon,0.343
dragapult/charizard,raging-bolt/ogerpon,0.364
gardevoir,dragapult,0.432
raging-bolt/ogerpon,dragapult,0.360
dragapult,dragapult,
joltik-box,dragapult,0.455
flareon/noctowl,dragapult,0.446
tera-box,dragapult,0.396
dragapult/dusknoir,dragapult,0.306
gholdengo/dragapult,dragapult,0.377
n-zoroark,dragapult,0.379
dragapult/charizard,dragapult,0.321
gardevoir,joltik-box,0.430
raging-bolt/ogerpon,joltik-box,0.553
dragapult,joltik-box,0.448
joltik-box,joltik-box,
flareon/noctowl,joltik-box,0.367
tera-box,joltik-box,0.354
dragapult/dusknoir,joltik-box,0.400
gholdengo/dragapult,joltik-box,0.442
n-zoroark,joltik-box,0.139
dragapult/charizard,joltik-box,0.333
gardevoir,flareon/noctowl,0.421
raging-bolt/ogerpon,flareon/noctowl,0.309
dragapult,flareon/noctowl,0.429
joltik-box,flareon/noctowl,0.506
flareon/noctowl,flareon/noctowl,
tera-box,flareon/noctowl,0.530
dragapult/dusknoir,flareon/noctowl,0.438
gholdengo/dragapult,flareon/noctowl,0.275
n-zoroark,flareon/noctowl,0.296
dragapult/charizard,flareon/noctowl,0.478
gardevoir,tera-box,0.387
raging-bolt/ogerpon,tera-box,0.301
dragapult,tera-box,0.425
joltik-box,tera-box,0.490
flareon/noctowl,tera-box,0.318
tera-box,tera-box,
dragapult/dusknoir,tera-box,0.320
gholdengo/dragapult,tera-box,0.467
n-zoroark,tera-box,0.366
dragapult/charizard,tera-box,0.364
gardevoir,dragapult/dusknoir,0.488
raging-bolt/ogerpon,dragapult/dusknoir,0.548
dragapult,dragapult/dusknoir,0.509
joltik-box,dragapult/dusknoir,0.450
flareon/noctowl,dragapult/dusknoir,0.354
tera-box,dragapult/dusknoir,0.560
dragapult/dusknoir,dragapult/dusknoir,
gholdengo/dragapult,dragapult/dusknoir,0.387
n-zoroark,dragapult/dusknoir,0.619
dragapult/charizard,dragapult/dusknoir,0.400
gardevoir,gholdengo/dragapult,0.360
raging-bolt/ogerpon,gholdengo/dragapult,0.508
dragapult,gholdengo/dragapult,0.410
joltik-box,gholdengo/dragapult,0.326
flareon/noctowl,gholdengo/dragapult,0.650
tera-box,gholdengo/dragapult,0.356
dragapult/dusknoir,gholdengo/dragapult,0.290
gholdengo/dragapult,gholdengo/dragapult,
n-zoroark,gholdengo/dragapult,0.545
dragapult/charizard,gholdengo/dragapult,0.364
gardevoir,n-zoroark,0.234
raging-bolt/ogerpon,n-zoroark,0.414
dragapult,n-zoroark,0.409
joltik-box,n-zoroark,0.611
flareon/noctowl,n-zoroark,0.556
tera-box,n-zoroark,0.415
dragapult/dusknoir,n-zoroark,0.238
gholdengo/dragapult,n-zoroark,0.182
n-zoroark,n-zoroark,
dragapult/charizard,n-zoroark,0.750
gardevoir,dragapult/charizard,0.316
raging-bolt/ogerpon,dragapult/charizard,0.491
dragapult,dragapult/charizard,0.472
joltik-box,dragapult/charizard,0.515
flareon/noctowl,dragapult/charizard,0.261
tera-box,dragapult/charizard,0.455
dragapult/dusknoir,dragapult/charizard,0.200
gholdengo/dragapult,dragapult/charizard,0.364
n-zoroark,dragapult/charizard,0.125
dragapult/charizard,dragapult/charizard,
