deck,opponent,winrate
dragapult/dusknoir,dragapult/dusknoir,
raging-bolt/ogerpon,dragapult/dusknoir,0.427
gardevoir,dragapult/dusknoir,0.635
dragapult,dragapult/dusknoir,0.596
noctowl/ogerpon-wellspring,dragapult/dusknoir,0.533
joltik/pikachu,dragapult/dusknoir,0.719
gholdengo/dudunsparce,dragapult/dusknoir,0.333
gholdengo/dragapult,dragapult/dusknoir,0.500
terapagos/noctowl,dragapult/dusknoir,0.375
archaludon/brute-bonnet,dragapult/dusknoir,0.357
dragapult/dusknoir,raging-bolt/ogerpon,0.416
raging-bolt/ogerpon,raging-bolt/ogerpon,
gardevoir,raging-bolt/ogerpon,0.419
dragapult,raging-bolt/ogerpon,0.404
noctowl/ogerpon-wellspring,raging-bolt/ogerpon,0.510
joltik/pikachu,raging-bolt/ogerpon,0.447
gholdengo/dudunsparce,raging-bolt/ogerpon,0.308
gholdengo/dragapult,raging-bolt/ogerpon,0.273
terapagos/noctowl,raging-bolt/ogerpon,0.500
archaludon/brute-bonnet,raging-bolt/ogerpon,0.500
dragapult/dusknoir,gardevoir,0.206
raging-bolt/ogerpon,gardevoir,0.323
gardevoir,gardevoir,
dragapult,gardevoir,0.216
noctowl/ogerpon-wellspring,gardevoir,0.333
joltik/pikachu,gardevoir,0.519
gholdengo/dudunsparce,gardevoir,0.455
gholdengo/dragapult,gardevoir,0.333
terapagos/noctowl,gardevoir,0.368
archaludon/brute-bonnet,gardevoir,0.318
dragapult/dusknoir,dragapult,0.281
raging-bolt/ogerpon,dragapult,0.385
gardevoir,dragapult,0.549
dragapult,dragapult,
noctowl/ogerpon-wellspring,dragapult,0.462
joltik/pikachu,dragapult,0.414
gholdengo/dudunsparce,dragapult,0.214
gholdengo/dragapult,dragapult,0.385
terapagos/noctowl,dragapult,0.211
archaludon/brute-bonnet,dragapult,0.154
dragapult/dusknoir,noctowl/ogerpon-wellspring,0.333
raging-bolt/ogerpon,noctowl/ogerpon-wellspring,0.306
gardevoir,noctowl/ogerpon-wellspring,0.455
dragapult,noctowl/ogerpon-wellspring,0.462
noctowl/ogerpon-wellspring,noctowl/ogerpon-wellspring,
joltik/pikachu,noctowl/ogerpon-wellspring,0.467
gholdengo/dudunsparce,noctowl/ogerpon-wellspring,0.438
gholdengo/dragapult,noctowl/ogerpon-wellspring,0.500
terapagos/noctowl,noctowl/ogerpon-wellspring,0.571
archaludon/brute-bonnet,noctowl/ogerpon-wellspring,0.625
dragapult/dusknoir,joltik/pikachu,0.250
raging-bolt/ogerpon,joltik/pikachu,0.342
gardevoir,joltik/pikachu,0.259
dragapult,joltik/pikachu,0.414
noctowl/ogerpon-wellspring,joltik/pikachu,0.267
joltik/pikachu,joltik/pikachu,
gholdengo/dudunsparce,joltik/pikachu,0.250
gholdengo/dragapult,joltik/pikachu,0.400
terapagos/noctowl,joltik/pikachu,0.250
archaludon/brute-bonnet,joltik/pikachu,0.222
dragapult/dusknoir,gholdengo/dudunsparce,0.417
raging-bolt/ogerpon,gholdengo/dudunsparce,0.462
gardevoir,gholdengo/dudunsparce,0.333
dragapult,gholdengo/dudunsparce,0.571
noctowl/ogerpon-wellspring,gholdengo/dudunsparce,0.312
joltik/pikachu,gholdengo/dudunsparce,0.375
gholdengo/dudunsparce,gholdengo/dudunsparce,
gholdengo/dragapult,gholdengo/dudunsparce,0.625
terapagos/noctowl,gholdengo/dudunsparce,0.538
archaludon/brute-bonnet,gholdengo/dudunsparce,0.067
dragapult/dusknoir,gholdengo/dragapult,0.225
raging-bolt/ogerpon,gholdengo/dragapult,0.500
gardevoir,gholdengo/dragapult,0.292
dragapult,gholdengo/dragapult,0.500
noctowl/ogerpon-wellspring,gholdengo/dragapult,0.400
joltik/pikachu,gholdengo/dragapult,0.333
gholdengo/dudunsparce,gholdengo/dragapult,0.125
gholdengo/dragapult,gholdengo/dragapult,
terapagos/noctowl,gholdengo/dragapult,0.375
archaludon/brute-bonnet,gholdengo/dragapult,0.222
dragapult/dusknoir,terapagos/noctowl,0.281
raging-bolt/ogerpon,terapagos/noctowl,0.250
gardevoir,terapagos/noctowl,0.526
dragapult,terapagos/noctowl,0.579
noctowl/ogerpon-wellspring,terapagos/noctowl,0.214
joltik/pikachu,terapagos/noctowl,0.667
gholdengo/dudunsparce,terapagos/noctowl,0.231
gholdengo/dragapult,terapagos/noctowl,0.375
terapagos/noctowl,terapagos/noctowl,
archaludon/brute-bonnet,terapagos/noctowl,0.333
dragapult/dusknoir,archaludon/brute-bonnet,0.500
raging-bolt/ogerpon,archaludon/brute-bonnet,0.235
gardevoir,archaludon/brute-bonnet,0.545
dragapult,archaludon/brute-bonnet,0.615
noctowl/ogerpon-wellspring,archaludon/brute-bonnet,0.125
joltik/pikachu,archaludon/brute-bonnet,0.333
gholdengo/dudunsparce,archaludon/brute-bonnet,0.733
gholdengo/dragapult,archaludon/brute-bonnet,0.667
terapagos/noctowl,archaludon/brute-bonnet,0.000
archaludon/brute-bonnet,archaludon/brute-bonnet,
