deck,opponent,winrate
gardevoir,gardevoir,
raging-bolt/ogerpon,gardevoir,0.312
joltik-box,gardevoir,0.379
dragapult,gardevoir,0.305
dragapult/dusknoir,gardevoir,0.429
tera-box,gardevoir,0.292
gholdengo/dragapult,gardevoir,0.400
dragapult/charizard,gardevoir,0.500
n-zoroark,gardevoir,0.571
feraligatr,gardevoir,0.167
gardevoir,raging-bolt/ogerpon,0.510
raging-bolt/ogerpon,raging-bolt/ogerpon,
joltik-box,raging-bolt/ogerpon,0.291
dragapult,raging-bolt/ogerpon,0.488
dragapult/dusknoir,raging-bolt/ogerpon,0.405
tera-box,raging-bolt/ogerpon,0.532
gholdengo/dragapult,raging-bolt/ogerpon,0.300
dragapult/charizard,raging-bolt/ogerpon,0.368
n-zoroark,raging-bolt/ogerpon,0.053
feraligatr,raging-bolt/ogerpon,0.105
gardevoir,joltik-box,0.483
raging-bolt/ogerpon,joltik-box,0.600
joltik-box,joltik-box,
dragapult,joltik-box,0.425
dragapult/dusknoir,joltik-box,0.378
tera-box,joltik-box,0.345
gholdengo/dragapult,joltik-box,0.440
dragapult/charizard,joltik-box,0.733
n-zoroark,joltik-box,0.235
feraligatr,joltik-box,0.273
gardevoir,dragapult,0.390
raging-bolt/ogerpon,dragapult,0.390
joltik-box,dragapult,0.575
dragapult,dragapult,
dragapult/dusknoir,dragapult,0.182
tera-box,dragapult,0.421
gholdengo/dragapult,dragapult,0.500
dragapult/charizard,dragapult,0.200
n-zoroark,dragapult,0.529
feraligatr,dragapult,0.333
gardevoir,dragapult/dusknoir,0.449
raging-bolt/ogerpon,dragapult/dusknoir,0.541
joltik-box,dragapult/dusknoir,0.568
dragapult,dragapult/dusknoir,0.515
dragapult/dusknoir,dragapult/dusknoir,
tera-box,dragapult/dusknoir,0.536
gholdengo/dragapult,dragapult/dusknoir,0.333
dragapult/charizard,dragapult/dusknoir,0.231
n-zoroark,dragapult/dusknoir,0.500
feraligatr,dragapult/dusknoir,0.182
gardevoir,tera-box,0.542
raging-bolt/ogerpon,tera-box,0.362
joltik-box,tera-box,0.379
dragapult,tera-box,0.421
dragapult/dusknoir,tera-box,0.321
tera-box,tera-box,
gholdengo/dragapult,tera-box,0.333
dragapult/charizard,tera-box,0.286
n-zoroark,tera-box,0.375
feraligatr,tera-box,0.400
gardevoir,gholdengo/dragapult,0.257
raging-bolt/ogerpon,gholdengo/dragapult,0.600
joltik-box,gholdengo/dragapult,0.400
dragapult,gholdengo/dragapult,0.400
dragapult/dusknoir,gholdengo/dragapult,0.333
tera-box,gholdengo/dragapult,0.500
gholdengo/dragapult,gholdengo/dragapult,
dragapult/charizard,gholdengo/dragapult,0.714
n-zoroark,gholdengo/dragapult,0.286
feraligatr,gholdengo/dragapult,0.000
gardevoir,dragapult/charizard,0.278
raging-bolt/ogerpon,dragapult/charizard,0.421
joltik-box,dragapult/charizard,0.200
dragapult,dragapult/charizard,0.300
dragapult/dusknoir,dragapult/charizard,0.385
tera-box,dragapult/charizard,0.714
gholdengo/dragapult,dragapult/charizard,0.143
dragapult/charizard,dragapult/charizard,
n-zoroark,dragapult/charizard,0.200
feraligatr,dragapult/charizard,1.000
gardevoir,n-zoroark,0.286
raging-bolt/ogerpon,n-zoroark,0.895
joltik-box,n-zoroark,0.647
dragapult,n-zoroark,0.353
dragapult/dusknoir,n-zoroark,0.500
tera-box,n-zoroark,0.500
gholdengo/dragapult,n-zoroark,0.429
dragapult/charizard,n-zoroark,0.600
n-zoroark,n-zoroark,
feraligatr,n-zoroark,0.000
gardevoir,feraligatr,0.833
raging-bolt/ogerpon,feraligatr,0.632
joltik-box,feraligatr,0.636
dragapult,feraligatr,0.444
dragapult/dusknoir,feraligatr,0.727
tera-box,feraligatr,0.600
gholdengo/dragapult,feraligatr,1.000
dragapult/charizard,feraligatr,0.000
n-zoroark,feraligatr,0.667
feraligatr,feraligatr,
