deck,opponent,winrate
gardevoir,gardevoir,
raging-bolt/ogerpon,gardevoir,0.341
dragapult,gardevoir,0.393
joltik/pikachu,gardevoir,0.394
flareon/noctowl,gardevoir,0.353
noctowl/ogerpon-wellspring,gardevoir,0.415
dragapult/dusknoir,gardevoir,0.380
gholdengo/dragapult,gardevoir,0.467
zoroark/darmanitan,gardevoir,0.623
dragapult/charizard,gardevoir,0.474
gardevoir,raging-bolt/ogerpon,0.434
raging-bolt/ogerpon,raging-bolt/ogerpon,
dragapult,raging-bolt/ogerpon,0.425
joltik/pikachu,raging-bolt/ogerpon,0.289
flareon/noctowl,raging-bolt/ogerpon,0.592
noctowl/ogerpon-wellspring,raging-bolt/ogerpon,0.569
dragapult/dusknoir,raging-bolt/ogerpon,0.355
gholdengo/dragapult,raging-bolt/ogerpon,0.369
zoroark/darmanitan,raging-bolt/ogerpon,0.343
dragapult/charizard,raging-bolt/ogerpon,0.364
gardevoir,dragapult,0.432
raging-bolt/ogerpon,dragapult,0.360
dragapult,dragapult,
joltik/pikachu,dragapult,0.455
flareon/noctowl,dragapult,0.446
noctowl/ogerpon-wellspring,dragapult,0.396
dragapult/dusknoir,dragapult,0.306
gholdengo/dragapult,dragapult,0.377
zoroark/darmanitan,dragapult,0.379
dragapult/charizard,dragapult,0.321
gardevoir,joltik/pikachu,0.430
raging-bolt/ogerpon,joltik/pikachu,0.553
dragapult,joltik/pikachu,0.448
joltik/pikachu,joltik/pikachu,
flareon/noctowl,joltik/pikachu,0.367
noctowl/ogerpon-wellspring,joltik/pikachu,0.354
dragapult/dusknoir,joltik/pikachu,0.400
gholdengo/dragapult,joltik/pikachu,0.442
zoroark/darmanitan,joltik/pikachu,0.139
dragapult/charizard,joltik/pikachu,0.333
gardevoir,flareon/noctowl,0.421
raging-bolt/ogerpon,flareon/noctowl,0.309
dragapult,flareon/noctowl,0.429
joltik/pikachu,flareon/noctowl,0.506
flareon/noctowl,flareon/noctowl,
noctowl/ogerpon-wellspring,flareon/noctowl,0.530
dragapult/dusknoir,flareon/noctowl,0.438
gholdengo/dragapult,flareon/noctowl,0.275
zoroark/darmanitan,flareon/noctowl,0.296
dragapult/charizard,flareon/noctowl,0.478
gardevoir,noctowl/ogerpon-wellspring,0.387
raging-bolt/ogerpon,noctowl/ogerpon-wellspring,0.301
dragapult,noctowl/ogerpon-wellspring,0.425
joltik/pikachu,noctowl/ogerpon-wellspring,0.490
flareon/noctowl,noctowl/ogerpon-wellspring,0.318
noctowl/ogerpon-wellspring,noctowl/ogerpon-wellspring,
dragapult/dusknoir,noctowl/ogerpon-wellspring,0.320
gholdengo/dragapult,noctowl/ogerpon-wellspring,0.467
zoroark/darmanitan,noctowl/ogerpon-wellspring,0.366
dragapult/charizard,noctowl/ogerpon-wellspring,0.364
gardevoir,dragapult/dusknoir,0.488
raging-bolt/ogerpon,dragapult/dusknoir,0.548
dragapult,dragapult/dusknoir,0.509
joltik/pikachu,dragapult/dusknoir,0.450
flareon/noctowl,dragapult/dusknoir,0.354
noctowl/ogerpon-wellspring,dragapult/dusknoir,0.560
dragapult/dusknoir,dragapult/dusknoir,
gholdengo/dragapult,dragapult/dusknoir,0.387
zoroark/darmanitan,dragapult/dusknoir,0.619
dragapult/charizard,dragapult/dusknoir,0.400
gardevoir,gholdengo/dragapult,0.360
raging-bolt/ogerpon,gholdengo/dragapult,0.508
dragapult,gholdengo/dragapult,0.410
joltik/pikachu,gholdengo/dragapult,0.326
flareon/noctowl,gholdengo/dragapult,0.650
noctowl/ogerpon-wellspring,gholdengo/dragapult,0.356
dragapult/dusknoir,gholdengo/dragapult,0.290
gholdengo/dragapult,gholdengo/dragapult,
zoroark/darmanitan,gholdengo/dragapult,0.545
dragapult/charizard,gholdengo/dragapult,0.364
gardevoir,zoroark/darmanitan,0.234
raging-bolt/ogerpon,zoroark/darmanitan,0.414
dragapult,zoroark/darmanitan,0.409
joltik/pikachu,zoroark/darmanitan,0.611
flareon/noctowl,zoroark/darmanitan,0.556
noctowl/ogerpon-wellspring,zoroark/darmanitan,0.415
dragapult/dusknoir,zoroark/darmanitan,0.238
gholdengo/dragapult,zoroark/darmanitan,0.182
zoroark/darmanitan,zoroark/darmanitan,
dragapult/charizard,zoroark/darmanitan,0.750
gardevoir,dragapult/charizard,0.316
raging-bolt/ogerpon,dragapult/charizard,0.491
dragapult,dragapult/charizard,0.472
joltik/pikachu,dragapult/charizard,0.515
flareon/noctowl,dragapult/charizard,0.261
noctowl/ogerpon-wellspring,dragapult/charizard,0.455
dragapult/dusknoir,dragapult/charizard,0.200
gholdengo/dragapult,dragapult/charizard,0.364
zoroark/darmanitan,dragapult/charizard,0.125
dragapult/charizard,dragapult/charizard,
