deck,opponent,winrate
raging-bolt/ogerpon,raging-bolt/ogerpon,
gardevoir,raging-bolt/ogerpon,0.410
dragapult,raging-bolt/ogerpon,0.417
joltik-box,raging-bolt/ogerpon,0.412
dragapult/dusknoir,raging-bolt/ogerpon,0.303
tera-box,raging-bolt/ogerpon,0.496
gholdengo/dragapult,raging-bolt/ogerpon,0.323
n-zoroark,raging-bolt/ogerpon,0.250
dragapult/charizard,raging-bolt/ogerpon,0.358
flareon/noctowl,raging-bolt/ogerpon,0.444
raging-bolt/ogerpon,gardevoir,0.284
gardevoir,gardevoir,
dragapult,gardevoir,0.284
joltik-box,gardevoir,0.376
dragapult/dusknoir,gardevoir,0.311
tera-box,gardevoir,0.250
gholdengo/dragapult,gardevoir,0.506
n-zoroark,gardevoir,0.517
dragapult/charizard,gardevoir,0.412
flareon/noctowl,gardevoir,0.381
raging-bolt/ogerpon,dragapult,0.314
gardevoir,dragapult,0.451
dragapult,dragapult,
joltik-box,dragapult,0.509
dragapult/dusknoir,dragapult,0.290
tera-box,dragapult,0.352
gholdengo/dragapult,dragapult,0.434
n-zoroark,dragapult,0.548
dragapult/charizard,dragapult,0.400
flareon/noctowl,dragapult,0.429
raging-bolt/ogerpon,joltik-box,0.366
gardevoir,joltik-box,0.459
dragapult,joltik-box,0.298
joltik-box,joltik-box,
dragapult/dusknoir,joltik-box,0.324
tera-box,joltik-box,0.321
gholdengo/dragapult,joltik-box,0.449
n-zoroark,joltik-box,0.216
dragapult/charizard,joltik-box,0.419
flareon/noctowl,joltik-box,0.292
raging-bolt/ogerpon,dragapult/dusknoir,0.475
gardevoir,dragapult/dusknoir,0.491
dragapult,dragapult/dusknoir,0.449
joltik-box,dragapult/dusknoir,0.608
dragapult/dusknoir,dragapult/dusknoir,
tera-box,dragapult/dusknoir,0.488
gholdengo/dragapult,dragapult/dusknoir,0.500
n-zoroark,dragapult/dusknoir,0.280
dragapult/charizard,dragapult/dusknoir,0.385
flareon/noctowl,dragapult/dusknoir,0.385
raging-bolt/ogerpon,tera-box,0.287
gardevoir,tera-box,0.410
dragapult,tera-box,0.407
joltik-box,tera-box,0.536
dragapult/dusknoir,tera-box,0.349
tera-box,tera-box,
gholdengo/dragapult,tera-box,0.389
n-zoroark,tera-box,0.231
dragapult/charizard,tera-box,0.333
flareon/noctowl,tera-box,0.333
raging-bolt/ogerpon,gholdengo/dragapult,0.419
gardevoir,gholdengo/dragapult,0.184
dragapult,gholdengo/dragapult,0.316
joltik-box,gholdengo/dragapult,0.304
dragapult/dusknoir,gholdengo/dragapult,0.304
tera-box,gholdengo/dragapult,0.417
gholdengo/dragapult,gholdengo/dragapult,
n-zoroark,gholdengo/dragapult,0.692
dragapult/charizard,gholdengo/dragapult,0.471
flareon/noctowl,gholdengo/dragapult,0.467
raging-bolt/ogerpon,n-zoroark,0.569
gardevoir,n-zoroark,0.300
dragapult,n-zoroark,0.290
joltik-box,n-zoroark,0.730
dragapult/dusknoir,n-zoroark,0.440
tera-box,n-zoroark,0.462
gholdengo/dragapult,n-zoroark,0.154
n-zoroark,n-zoroark,
dragapult/charizard,n-zoroark,0.500
flareon/noctowl,n-zoroark,0.625
raging-bolt/ogerpon,dragapult/charizard,0.415
gardevoir,dragapult/charizard,0.471
dragapult,dragapult/charizard,0.280
joltik-box,dragapult/charizard,0.548
dragapult/dusknoir,dragapult/charizard,0.462
tera-box,dragapult/charizard,0.267
gholdengo/dragapult,dragapult/charizard,0.294
n-zoroark,dragapult/charizard,0.400
dragapult/charizard,dragapult/charizard,
flareon/noctowl,dragapult/charizard,0.200
raging-bolt/ogerpon,flareon/noctowl,0.444
gardevoir,flareon/noctowl,0.500
dragapult,flareon/noctowl,0.286
joltik-box,flareon/noctowl,0.667
dragapult/dusknoir,flareon/noctowl,0.385
tera-box,flareon/noctowl,0.533
gholdengo/dragapult,flareon/noctowl,0.200
n-zoroark,flareon/noctowl,0.125
dragapult/charizard,flareon/noctowl,0.400
flareon/noctowl,flareon/noctowl,
