deck,opponent,winrate
gardevoir,gardevoir,
raging-bolt/ogerpon,gardevoir,0.311
dragapult,gardevoir,0.357
joltik-box,gardevoir,0.315
dragapult/dusknoir,gardevoir,0.317
gholdengo/dragapult,gardevoir,0.518
tera-box,gardevoir,0.365
flareon/noctowl,gardevoir,0.385
dragapult/charizard,gardevoir,0.333
n-zoroark,gardevoir,0.648
gardevoir,raging-bolt/ogerpon,0.482
raging-bolt/ogerpon,raging-bolt/ogerpon,
dragapult,raging-bolt/ogerpon,0.534
joltik-box,raging-bolt/ogerpon,0.310
dragapult/dusknoir,raging-bolt/ogerpon,0.333
gholdengo/dragapult,raging-bolt/ogerpon,0.361
tera-box,raging-bolt/ogerpon,0.356
flareon/noctowl,raging-bolt/ogerpon,0.521
dragapult/charizard,raging-bolt/ogerpon,0.381
n-zoroark,raging-bolt/ogerpon,0.455
gardevoir,dragapult,0.409
raging-bolt/ogerpon,dragapult,0.316
dragapult,dragapult,
joltik-box,dragapult,0.468
dragapult/dusknoir,dragapult,0.327
gholdengo/dragapult,dragapult,0.411
tera-box,dragapult,0.327
flareon/noctowl,dragapult,0.316
dragapult/charizard,dragapult,0.355
n-zoroark,dragapult,0.488
gardevoir,joltik-box,0.508
raging-bolt/ogerpon,joltik-box,0.487
dragapult,joltik-box,0.477
joltik-box,joltik-box,
dragapult/dusknoir,joltik-box,0.306
gholdengo/dragapult,joltik-box,0.512
tera-box,joltik-box,0.408
flareon/noctowl,joltik-box,0.125
dragapult/charizard,joltik-box,0.515
n-zoroark,joltik-box,0.238
gardevoir,dragapult/dusknoir,0.550
raging-bolt/ogerpon,dragapult/dusknoir,0.449
dragapult,dragapult/dusknoir,0.545
joltik-box,dragapult/dusknoir,0.551
dragapult/dusknoir,dragapult/dusknoir,
gholdengo/dragapult,dragapult/dusknoir,0.577
tera-box,dragapult/dusknoir,0.500
flareon/noctowl,dragapult/dusknoir,0.316
dragapult/charizard,dragapult/dusknoir,0.733
n-zoroark,dragapult/dusknoir,0.371
gardevoir,gholdengo/dragapult,0.286
raging-bolt/ogerpon,gholdengo/dragapult,0.459
dragapult,gholdengo/dragapult,0.464
joltik-box,gholdengo/dragapult,0.366
dragapult/dusknoir,gholdengo/dragapult,0.308
gholdengo/dragapult,gholdengo/dragapult,
tera-box,gholdengo/dragapult,0.500
flareon/noctowl,gholdengo/dragapult,0.722
dragapult/charizard,gholdengo/dragapult,0.385
n-zoroark,gholdengo/dragapult,0.333
gardevoir,tera-box,0.519
raging-bolt/ogerpon,tera-box,0.441
dragapult,tera-box,0.490
joltik-box,tera-box,0.449
dragapult/dusknoir,tera-box,0.364
gholdengo/dragapult,tera-box,0.346
tera-box,tera-box,
flareon/noctowl,tera-box,0.435
dragapult/charizard,tera-box,0.444
n-zoroark,tera-box,0.389
gardevoir,flareon/noctowl,0.423
raging-bolt/ogerpon,flareon/noctowl,0.417
dragapult,flareon/noctowl,0.474
joltik-box,flareon/noctowl,0.625
dragapult/dusknoir,flareon/noctowl,0.421
gholdengo/dragapult,flareon/noctowl,0.278
tera-box,flareon/noctowl,0.435
flareon/noctowl,flareon/noctowl,
dragapult/charizard,flareon/noctowl,0.692
n-zoroark,flareon/noctowl,0.333
gardevoir,dragapult/charizard,0.500
raging-bolt/ogerpon,dragapult/charizard,0.357
dragapult,dragapult/charizard,0.484
joltik-box,dragapult/charizard,0.455
dragapult/dusknoir,dragapult/charizard,0.200
gholdengo/dragapult,dragapult/charizard,0.385
tera-box,dragapult/charizard,0.556
flareon/noctowl,dragapult/charizard,0.154
dragapult/charizard,dragapult/charizard,
n-zoroark,dragapult/charizard,0.700
gardevoir,n-zoroark,0.093
raging-bolt/ogerpon,n-zoroark,0.333
dragapult,n-zoroark,0.341
joltik-box,n-zoroark,0.667
dragapult/dusknoir,n-zoroark,0.371
gholdengo/dragapult,n-zoroark,0.417
tera-box,n-zoroark,0.444
flareon/noctowl,n-zoroark,0.667
dragapult/charizard,n-zoroark,0.300
n-zoroark,n-zoroark,
