deck,opponent,winrate
gholdengo,gholdengo,
dragapult/dusknoir,gholdengo,0.340
gardevoir,gholdengo,0.275
raging-bolt/ogerpon,gholdengo,0.457
grimmsnarl/froslass,gholdengo,0.367
flareon/noctowl,gholdengo,0.710
charizard/pidgeot,gholdengo,0.548
dragapult,gholdengo,0.488
joltik-box,gholdengo,0.460
n-zoroark,gholdengo,0.345
gholdengo,dragapult/dusknoir,0.552
dragapult/dusknoir,dragapult/dusknoir,
gardevoir,dragapult/dusknoir,0.510
raging-bolt/ogerpon,dragapult/dusknoir,0.374
grimmsnarl/froslass,dragapult/dusknoir,0.421
flareon/noctowl,dragapult/dusknoir,0.333
charizard/pidgeot,dragapult/dusknoir,0.167
dragapult,dragapult/dusknoir,0.500
joltik-box,dragapult/dusknoir,0.444
n-zoroark,dragapult/dusknoir,0.571
gholdengo,gardevoir,0.556
dragapult/dusknoir,gardevoir,0.408
gardevoir,gardevoir,
raging-bolt/ogerpon,gardevoir,0.394
grimmsnarl/froslass,gardevoir,0.667
flareon/noctowl,gardevoir,0.476
charizard/pidgeot,gardevoir,0.409
dragapult,gardevoir,0.357
joltik-box,gardevoir,0.222
n-zoroark,gardevoir,0.812
gholdengo,raging-bolt/ogerpon,0.479
dragapult/dusknoir,raging-bolt/ogerpon,0.505
gardevoir,raging-bolt/ogerpon,0.549
raging-bolt/ogerpon,raging-bolt/ogerpon,
grimmsnarl/froslass,raging-bolt/ogerpon,0.290
flareon/noctowl,raging-bolt/ogerpon,0.520
charizard/pidgeot,raging-bolt/ogerpon,0.458
dragapult,raging-bolt/ogerpon,0.529
joltik-box,raging-bolt/ogerpon,0.250
n-zoroark,raging-bolt/ogerpon,0.200
gholdengo,grimmsnarl/froslass,0.500
dragapult/dusknoir,grimmsnarl/froslass,0.474
gardevoir,grimmsnarl/froslass,0.167
raging-bolt/ogerpon,grimmsnarl/froslass,0.484
grimmsnarl/froslass,grimmsnarl/froslass,
flareon/noctowl,grimmsnarl/froslass,0.429
charizard/pidgeot,grimmsnarl/froslass,0.500
dragapult,grimmsnarl/froslass,0.455
joltik-box,grimmsnarl/froslass,0.538
n-zoroark,grimmsnarl/froslass,0.167
gholdengo,flareon/noctowl,0.261
dragapult/dusknoir,flareon/noctowl,0.545
gardevoir,flareon/noctowl,0.429
raging-bolt/ogerpon,flareon/noctowl,0.400
grimmsnarl/froslass,flareon/noctowl,0.571
flareon/noctowl,flareon/noctowl,
charizard/pidgeot,flareon/noctowl,0.571
dragapult,flareon/noctowl,0.611
joltik-box,flareon/noctowl,0.500
n-zoroark,flareon/noctowl,0.250
gholdengo,charizard/pidgeot,0.323
dragapult/dusknoir,charizard/pidgeot,0.786
gardevoir,charizard/pidgeot,0.364
raging-bolt/ogerpon,charizard/pidgeot,0.417
grimmsnarl/froslass,charizard/pidgeot,0.300
flareon/noctowl,charizard/pidgeot,0.429
charizard/pidgeot,charizard/pidgeot,
dragapult,charizard/pidgeot,0.385
joltik-box,charizard/pidgeot,0.833
n-zoroark,charizard/pidgeot,0.286
gholdengo,dragapult,0.317
dragapult/dusknoir,dragapult,0.433
gardevoir,dragapult,0.607
raging-bolt/ogerpon,dragapult,0.412
grimmsnarl/froslass,dragapult,0.364
flareon/noctowl,dragapult,0.167
charizard/pidgeot,dragapult,0.462
dragapult,dragapult,
joltik-box,dragapult,0.538
n-zoroark,dragapult,0.667
gholdengo,joltik-box,0.349
dragapult/dusknoir,joltik-box,0.519
gardevoir,joltik-box,0.741
raging-bolt/ogerpon,joltik-box,0.607
grimmsnarl/froslass,joltik-box,0.385
flareon/noctowl,joltik-box,0.333
charizard/pidgeot,joltik-box,0.167
dragapult,joltik-box,0.462
joltik-box,joltik-box,
n-zoroark,joltik-box,0.500
gholdengo,n-zoroark,0.483
dragapult/dusknoir,n-zoroark,0.286
gardevoir,n-zoroark,0.125
raging-bolt/ogerpon,n-zoroark,0.400
grimmsnarl/froslass,n-zoroark,0.500
flareon/noctowl,n-zoroark,0.750
charizard/pidgeot,n-zoroark,0.714
dragapult,n-zoroark,0.167
joltik-box,n-zoroark,0.500
n-zoroark,n-zoroark,
