deck,opponent,winrate
dragapult/dusknoir,dragapult/dusknoir,
raging-bolt/ogerpon,dragapult/dusknoir,0.416
gholdengo,dragapult/dusknoir,0.460
gardevoir,dragapult/dusknoir,0.536
gholdengo-joltik-box,dragapult/dusknoir,0.476
charizard/pidgeot,dragapult/dusknoir,0.231
tera-box,dragapult/dusknoir,0.602
joltik-box,dragapult/dusknoir,0.473
grimmsnarl/froslass,dragapult/dusknoir,0.470
flareon/noctowl,dragapult/dusknoir,0.379
dragapult/dusknoir,raging-bolt/ogerpon,0.451
raging-bolt/ogerpon,raging-bolt/ogerpon,
gholdengo,raging-bolt/ogerpon,0.378
gardevoir,raging-bolt/ogerpon,0.525
gholdengo-joltik-box,raging-bolt/ogerpon,0.351
charizard/pidgeot,raging-bolt/ogerpon,0.376
tera-box,raging-bolt/ogerpon,0.623
joltik-box,raging-bolt/ogerpon,0.460
grimmsnarl/froslass,raging-bolt/ogerpon,0.337
flareon/noctowl,raging-bolt/ogerpon,0.449
dragapult/dusknoir,gholdengo,0.359
raging-bolt/ogerpon,gholdengo,0.461
gholdengo,gholdengo,
gardevoir,gholdengo,0.314
gholdengo-joltik-box,gholdengo,0.507
charizard/pidgeot,gholdengo,0.500
tera-box,gholdengo,0.596
joltik-box,gholdengo,0.505
grimmsnarl/froslass,gholdengo,0.253
flareon/noctowl,gholdengo,0.610
dragapult/dusknoir,gardevoir,0.328
raging-bolt/ogerpon,gardevoir,0.273
gholdengo,gardevoir,0.459
gardevoir,gardevoir,
gholdengo-joltik-box,gardevoir,0.544
charizard/pidgeot,gardevoir,0.530
tera-box,gardevoir,0.408
joltik-box,gardevoir,0.378
grimmsnarl/froslass,gardevoir,0.533
flareon/noctowl,gardevoir,0.410
dragapult/dusknoir,gholdengo-joltik-box,0.423
raging-bolt/ogerpon,gholdengo-joltik-box,0.495
gholdengo,gholdengo-joltik-box,0.318
gardevoir,gholdengo-joltik-box,0.295
gholdengo-joltik-box,gholdengo-joltik-box,
charizard/pidgeot,gholdengo-joltik-box,0.350
tera-box,gholdengo-joltik-box,0.478
joltik-box,gholdengo-joltik-box,0.478
grimmsnarl/froslass,gholdengo-joltik-box,0.175
flareon/noctowl,gholdengo-joltik-box,0.527
dragapult/dusknoir,charizard/pidgeot,0.606
raging-bolt/ogerpon,charizard/pidgeot,0.436
gholdengo,charizard/pidgeot,0.331
gardevoir,charizard/pidgeot,0.265
gholdengo-joltik-box,charizard/pidgeot,0.510
charizard/pidgeot,charizard/pidgeot,
tera-box,charizard/pidgeot,0.547
joltik-box,charizard/pidgeot,0.525
grimmsnarl/froslass,charizard/pidgeot,0.519
flareon/noctowl,charizard/pidgeot,0.256
dragapult/dusknoir,tera-box,0.263
raging-bolt/ogerpon,tera-box,0.285
gholdengo,tera-box,0.257
gardevoir,tera-box,0.347
gholdengo-joltik-box,tera-box,0.333
charizard/pidgeot,tera-box,0.312
tera-box,tera-box,
joltik-box,tera-box,0.333
grimmsnarl/froslass,tera-box,0.308
flareon/noctowl,tera-box,0.452
dragapult/dusknoir,joltik-box,0.402
raging-bolt/ogerpon,joltik-box,0.410
gholdengo,joltik-box,0.359
gardevoir,joltik-box,0.408
gholdengo-joltik-box,joltik-box,0.358
charizard/pidgeot,joltik-box,0.275
tera-box,joltik-box,0.476
joltik-box,joltik-box,
grimmsnarl/froslass,joltik-box,0.344
flareon/noctowl,joltik-box,0.357
dragapult/dusknoir,grimmsnarl/froslass,0.333
raging-bolt/ogerpon,grimmsnarl/froslass,0.438
gholdengo,grimmsnarl/froslass,0.552
gardevoir,grimmsnarl/froslass,0.280
gholdengo-joltik-box,grimmsnarl/froslass,0.675
charizard/pidgeot,grimmsnarl/froslass,0.269
tera-box,grimmsnarl/froslass,0.641
joltik-box,grimmsnarl/froslass,0.469
grimmsnarl/froslass,grimmsnarl/froslass,
flareon/noctowl,grimmsnarl/froslass,0.600
dragapult/dusknoir,flareon/noctowl,0.476
raging-bolt/ogerpon,flareon/noctowl,0.346
gholdengo,flareon/noctowl,0.256
gardevoir,flareon/noctowl,0.393
gholdengo-joltik-box,flareon/noctowl,0.382
charizard/pidgeot,flareon/noctowl,0.590
tera-box,flareon/noctowl,0.429
joltik-box,flareon/noctowl,0.464
grimmsnarl/froslass,flareon/noctowl,0.200
flareon/noctowl,flareon/noctowl,
