deck,opponent,winrate
raging-bolt/ogerpon,raging-bolt/ogerpon,
grimmsnarl/froslass,raging-bolt/ogerpon,0.340
gardevoir,raging-bolt/ogerpon,0.515
joltik-box,raging-bolt/ogerpon,0.329
dragapult/charizard,raging-bolt/ogerpon,0.468
dragapult/dusknoir,raging-bolt/ogerpon,0.468
flareon/noctowl,raging-bolt/ogerpon,0.443
gholdengo/dragapult,raging-bolt/ogerpon,0.318
gholdengo,raging-bolt/ogerpon,0.419
dragapult,raging-bolt/ogerpon,0.492
raging-bolt/ogerpon,grimmsnarl/froslass,0.491
grimmsnarl/froslass,grimmsnarl/froslass,
gardevoir,grimmsnarl/froslass,0.261
joltik-box,grimmsnarl/froslass,0.520
dragapult/charizard,grimmsnarl/froslass,0.303
dragapult/dusknoir,grimmsnarl/froslass,0.338
flareon/noctowl,grimmsnarl/froslass,0.452
gholdengo/dragapult,grimmsnarl/froslass,0.352
gholdengo,grimmsnarl/froslass,0.476
dragapult,grimmsnarl/froslass,0.342
raging-bolt/ogerpon,gardevoir,0.294
grimmsnarl/froslass,gardevoir,0.541
gardevoir,gardevoir,
joltik-box,gardevoir,0.352
dragapult/charizard,gardevoir,0.462
dragapult/dusknoir,gardevoir,0.319
flareon/noctowl,gardevoir,0.286
gholdengo/dragapult,gardevoir,0.538
gholdengo,gardevoir,0.486
dragapult,gardevoir,0.337
raging-bolt/ogerpon,joltik-box,0.543
grimmsnarl/froslass,joltik-box,0.345
gardevoir,joltik-box,0.517
joltik-box,joltik-box,
dragapult/charizard,joltik-box,0.523
dragapult/dusknoir,joltik-box,0.400
flareon/noctowl,joltik-box,0.408
gholdengo/dragapult,joltik-box,0.438
gholdengo,joltik-box,0.452
dragapult,joltik-box,0.431
raging-bolt/ogerpon,dragapult/charizard,0.341
grimmsnarl/froslass,dragapult/charizard,0.488
gardevoir,dragapult/charizard,0.343
joltik-box,dragapult/charizard,0.382
dragapult/charizard,dragapult/charizard,
dragapult/dusknoir,dragapult/charizard,0.418
flareon/noctowl,dragapult/charizard,0.275
gholdengo/dragapult,dragapult/charizard,0.390
gholdengo,dragapult/charizard,0.304
dragapult,dragapult/charizard,0.421
raging-bolt/ogerpon,dragapult/dusknoir,0.381
grimmsnarl/froslass,dragapult/dusknoir,0.516
gardevoir,dragapult/dusknoir,0.517
joltik-box,dragapult/dusknoir,0.559
dragapult/charizard,dragapult/dusknoir,0.409
dragapult/dusknoir,dragapult/dusknoir,
flareon/noctowl,dragapult/dusknoir,0.444
gholdengo/dragapult,dragapult/dusknoir,0.440
gholdengo,dragapult/dusknoir,0.514
dragapult,dragapult/dusknoir,0.455
raging-bolt/ogerpon,flareon/noctowl,0.407
grimmsnarl/froslass,flareon/noctowl,0.343
gardevoir,flareon/noctowl,0.498
joltik-box,flareon/noctowl,0.368
dragapult/charizard,flareon/noctowl,0.567
dragapult/dusknoir,flareon/noctowl,0.415
flareon/noctowl,flareon/noctowl,
gholdengo/dragapult,flareon/noctowl,0.323
gholdengo,flareon/noctowl,0.325
dragapult,flareon/noctowl,0.519
raging-bolt/ogerpon,gholdengo/dragapult,0.536
grimmsnarl/froslass,gholdengo/dragapult,0.444
gardevoir,gholdengo/dragapult,0.214
joltik-box,gholdengo/dragapult,0.397
dragapult/charizard,gholdengo/dragapult,0.429
dragapult/dusknoir,gholdengo/dragapult,0.347
flareon/noctowl,gholdengo/dragapult,0.662
gholdengo/dragapult,gholdengo/dragapult,
gholdengo,gholdengo/dragapult,0.479
dragapult,gholdengo/dragapult,0.583
raging-bolt/ogerpon,gholdengo,0.439
grimmsnarl/froslass,gholdengo,0.317
gardevoir,gholdengo,0.270
joltik-box,gholdengo,0.442
dragapult/charizard,gholdengo,0.435
dragapult/dusknoir,gholdengo,0.351
flareon/noctowl,gholdengo,0.525
gholdengo/dragapult,gholdengo,0.333
gholdengo,gholdengo,
dragapult,gholdengo,0.500
raging-bolt/ogerpon,dragapult,0.391
grimmsnarl/froslass,dragapult,0.410
gardevoir,dragapult,0.594
joltik-box,dragapult,0.466
dragapult/charizard,dragapult,0.386
dragapult/dusknoir,dragapult,0.473
flareon/noctowl,dragapult,0.423
gholdengo/dragapult,dragapult,0.250
gholdengo,dragapult,0.233
dragapult,dragapult,
